"gene","avg_log2FC","p_val_adj"
"GRID1",1.80955543189662,5.27181189262033e-10
"FAM171B",1.79708791462313,3.08551170558435e-07
"ARFGEF3",1.78999845919168,8.47557751881324e-09
"ASTN1",1.78866541285607,9.14276010653683e-11
"PTPRS",1.77678132415904,4.53652039416077e-07
"NOVA1",1.77634663777953,7.13058785473837e-16
"ATP9A",1.76705212786871,2.69852051510293e-09
"FRMD5",1.76088583814345,1.36139810586121e-26
"DAB1",1.75865540391317,1.95669082186154e-26
"DLG2",1.75325218023416,1.10370188695477e-89
"NRXN2",1.74779100292431,1.62383374195606e-09
"SOX5",1.74464645115375,1.35914002763593e-22
"CABP1",1.74055044127571,7.97419613018578e-14
"NCKAP1",1.74015271755818,1.5571470512069e-06
"COBL",1.73725176735216,1.99728874355959e-09
"CAMK2A",1.72642189270441,3.66587627203505e-20
"MT-CO1",1.72101403658778,2.54325766454485e-63
"MAPK8IP2",1.71815005387677,3.88991524362234e-10
"CAMK2B",1.71520535201404,7.78417462994468e-23
"RHBDD2",1.71392560163196,1.05556324716566e-07
"MT-ATP6",1.71152835129529,3.90678671814066e-41
"CDC42BPA",1.70179780615703,7.38667067189175e-20
"RUNDC3A",1.69477378968551,2.7172984086328e-08
"GFAP",1.69107773697735,8.72578508609017e-11
"ATP2B2",1.688045887612,9.81578496090983e-13
"ANK3",1.67951318905459,4.13457170786753e-38
"TOX",1.66930090057026,1.71012241849331e-12
"KIFC2",1.6574090357331,4.68200711677404e-20
"PLPPR2",1.65393764600362,3.58417110408231e-07
"MT-CO3",1.64822714578754,1.42075706098718e-68
"LINC00299",1.64122100778796,7.47557701684798e-06
"ZDBF2",1.63678532604936,7.80902534482465e-07
"MT-ND1",1.63275849901568,9.01480756532807e-40
"DOCK9",1.62966306930521,5.55407487977626e-09
"PKD1",1.62743072535333,3.98325982313523e-17
"SPTBN1",1.62056504153321,2.71907345956164e-11
"AKAP6",1.61169091300209,6.99040650588777e-17
"THY1",1.60140288597613,7.58227839368767e-06
"GRM3",1.59913428276726,5.23070925099449e-05
"NCAM1",1.59011362345849,9.19897865233687e-22
"FAIM2",1.58445884600786,9.20592069410881e-18
"IL1RAPL1",1.56593592683704,1.0745469671069e-55
"ABCA5",1.56192677126453,0.00747971988396392
"ESRRG",1.56019147612213,5.09920856221376e-10
"STXBP1",1.55845284073003,3.98569820670206e-11
"PHYHIP",1.55727066086431,9.83889504451166e-20
"NAT8L",1.54887613612789,2.76134713605362e-05
"CDK14",1.54645702344981,3.50692716418302e-08
"NDFIP2",1.54381488885435,0.000163109187328739
"DAPK1",1.54284616616051,1.82804756285984e-10
"MT-CO2",1.5423641485131,2.00529333631717e-65
"TSPYL2",1.54189245492505,1.57940516928059e-10
"SHC2",1.52656959882353,7.17124324710044e-05
"PSD",1.52650954358763,2.56864379018969e-09
"NPTXR",1.52303671243935,7.60242670687149e-07
"ASTN2",1.52174974169228,7.84993311598551e-10
"PPP2R2B",1.52080493407189,7.54456391034113e-32
"NECAB1",1.51903786578659,1.03143547420855e-06
"SYP",1.51699759235442,0.00582416857533931
"PHACTR1",1.51076574240458,9.84187099688813e-40
"KIRREL3",1.50219557042709,1.71143657136038e-10
"RAP1GAP",1.50146133552064,4.67809188365299e-06
"CEND1",1.49740439264215,2.86819890912371e-11
"TMEM59L",1.49736699116066,6.66925984433904e-10
"CLSTN3",1.49188207391156,7.79787734753877e-05
"TMEM232",1.4855078230759,3.24222400072073e-06
"MT-ND5",1.48306513008438,2.64284037538889e-23
"NFASC",1.48138786413901,1.84525068055445e-05
"LY6H",1.47705136227445,8.77691613586083e-10
"SLIT2",1.47654442645944,2.01508167631974e-07
"MT-ND4",1.47297737679492,8.53705258776908e-53
"DOCK3",1.46569799477839,3.81482296984683e-25
"CTDSPL",1.45574812274566,0.0042313849786442
"PEX5L",1.45377377375175,2.44209163174944e-16
"LY86-AS1",1.45215944641131,0.00535429289549758
"ADD3",1.44814215558619,0.000241945056856711
"PGBD5",1.44178675515149,0.041963855980263
"DNM1",1.42876879083293,1.29294854778376e-15
"ACAP3",1.42827898535028,1.71520458985958e-12
"PHYHIPL",1.42072000662931,0.000293034843044515
"PTDSS2",1.42012909838729,0.0035220460165486
"DENND5B",1.40683800723072,1.60449714886201e-07
"SATB2",1.40500570992671,3.19778200516952e-06
"OTUD7A",1.40198915148908,4.48249981794012e-05
"INPP4B",1.40152776918725,1.01786674804548e-05
"SH3GL3",1.39195780095106,0.00279979829012677
"RNF208",1.3829073882174,1.35661185147965e-06
"CPE",1.38052839891277,0.000408557218658179
"TTLL7",1.3802714757259,8.53427302326356e-12
