,celltype,n_NC,n_AD,subfamily,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
262,All,90772,116237,HERVK9-int,3.88E-13,-0.052269533,0.304,0.32,2.33E-11
263,All,90772,116237,HERV4-I-int,6.76E-12,0.052640214,0.156,0.165,4.06E-10
264,All,90772,116237,ERV3-16A3-I-int,2.77E-11,-0.047044155,0.351,0.366,1.66E-09
265,All,90772,116237,HERVK13-int,7.23E-10,-0.10888523,0.126,0.134,4.34E-08
266,All,90772,116237,HERVIP10F-int,7.25E-10,-0.066087059,0.203,0.213,4.35E-08
267,All,90772,116237,HERVK-int,2.68E-09,-0.058018966,0.251,0.262,1.61E-07
268,All,90772,116237,HERVFH21-int,7.80E-09,0.012117611,0.053,0.057,4.68E-07
269,All,90772,116237,HERVE-int,1.90E-08,-0.101629133,0.077,0.083,1.14E-06
270,All,90772,116237,HUERS-P1-int,1.34E-07,-0.046579661,0.112,0.119,8.06E-06
271,All,90772,116237,HERVK3-int,1.32E-06,-0.069272957,0.112,0.119,7.91E-05
272,All,90772,116237,HERVP71A-int,1.34E-06,-0.128500331,0.096,0.098,8.05E-05
273,All,90772,116237,LTR25-int,1.60E-06,-0.015236872,0.195,0.204,9.59E-05
274,All,90772,116237,HERVK11-int,4.79E-06,-0.01134679,0.151,0.159,0.000287175
275,All,90772,116237,HUERS-P3b-int,6.73E-06,-0.020669746,0.108,0.115,0.000403914
276,All,90772,116237,HUERS-P3-int,9.13E-06,-0.031593134,0.126,0.133,0.000547629
277,All,90772,116237,ERVL-B4-int,1.05E-05,-0.02038505,0.328,0.337,0.000630823
278,All,90772,116237,HERVS71-int,3.82E-05,-0.044612098,0.133,0.14,0.002290184
279,All,90772,116237,PRIMA41-int,0.000255473,0.010048531,0.083,0.08,0.015328356
280,All,90772,116237,HERVL40-int,0.000257274,-0.009817546,0.204,0.212,0.015436441
281,All,90772,116237,PRIMA4-int,0.000575965,0.010907117,0.138,0.143,0.034557905
282,All,90772,116237,HERVK22-int,0.002889526,0.016660558,0.154,0.15,0.173371545
283,All,90772,116237,HERVE-a-int,0.005638883,0.138267124,0.07,0.07,0.338332973
284,All,90772,116237,HERVL-int,0.011030715,-0.012183611,0.295,0.3,0.661842928
285,All,90772,116237,HERV9-int,0.013276827,-0.076365535,0.072,0.074,0.796609637
286,All,90772,116237,HERVIP10FH-int,0.036755989,0.046157181,0.237,0.232,1
287,All,90772,116237,ERVL-int,0.039536754,-0.057560244,0.057,0.058,1
288,All,90772,116237,MER4B-int,0.082948016,0.006965173,0.3,0.303,1
289,All,90772,116237,MER34B-int,0.971015051,0.019863883,0.079,0.079,1
